Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
2.484492,0.20210028848511072,0.6081828544620955,0.26540327744681874,-0.7202986805853939,-10.9805,-0.2695,2.0195,-0.2617,-0.291,0.1523,12.6875,-22.6875,-24.375,-1.1719,0.5234,0.3164
2.500909,0.2044402031794112,0.6061780017996514,0.26387229581303456,-0.7218890807876936,-10.8242,-0.2383,2.0859,-0.2617,-0.291,0.1523,11.6875,-20.9375,-23.875,-1.1719,0.5234,0.3164
2.503899,0.20607638175484938,0.6047694348312479,0.2627983620334606,-0.7229961801346206,-10.6602,-0.1914,2.1914,-0.2617,-0.291,0.1523,11.6875,-20.9375,-23.875,-1.1719,0.5234,0.3164
2.510441,0.2072208289613776,0.6037809172430496,0.2620455171466191,-0.723768111318164,-10.625,-0.1914,2.2305,-0.2617,-0.291,0.1523,11.9375,-23.0625,-24.375,-1.1719,0.5234,0.3164
2.513267,0.20802150485057255,0.6030877259270762,0.2615179956797725,-0.7243069696554393,-10.5234,-0.2695,2.2578,-0.2617,-0.291,0.1523,9.375,-23.8125,-24.8125,-1.1719,0.5234,0.3164
2.518068,0.20858175992191116,0.602601893158953,0.26114847348213455,-0.7246834361202655,-10.2773,-0.6211,2.125,-0.8477,-1.6934,0.666,9.375,-23.8125,-24.8125,-1.1719,0.5234,0.3164
2.520007,0.2089738293047996,0.6022615188184506,0.2608896834710578,-0.7249466012573291,-10.1875,-0.6211,2.1992,-0.8477,-1.6934,0.666,10.25,-20.625,-25.6875,-1.1719,0.5234,0.3164
2.525510,0.20924822288197265,0.6020231153033921,0.2607084704658403,-0.7251306387737985,-10.1172,-0.6992,2.2773,-0.8477,-1.6934,0.666,8.0625,-20.375,-26.5625,-1.1719,0.5234,0.3164
2.533231,0.20944027043441546,0.6018561643979862,0.26058159263019637,-0.7252593771050557,-10.0195,-0.957,2.3242,-0.8477,-1.6934,0.666,8.0625,-20.375,-26.5625,-1.1719,0.5234,0.3164
2.549910,0.20957468933538437,0.6017392658278601,0.26049276452322945,-0.7253494503906172,-9.9609,-0.9688,2.3828,-0.9805,-1.6602,0.582,8.0625,-20.375,-26.5625,-1.1719,0.5234,0.3164
2.558714,0.209668775039467,0.601657421106415,0.26043057848973405,-0.7254124800336219,-9.8984,-0.9688,2.4219,-0.9805,-1.6602,0.582,6.5625,-21.4375,-26.125,-1.1719,0.5234,0.3164
2.565110,0.2097346310117054,0.6016001223873128,0.26038704537066704,-0.7254565899494527,-9.6953,-0.9766,2.4766,-0.9805,-1.6602,0.582,7.0,-19.375,-26.9375,-1.1719,0.5234,0.3164
2.578216,0.20978072798994318,0.6015600098533558,0.26035657092211223,-0.7254874614263978,-9.3945,-1.2539,2.6016,-0.7969,-1.5996,0.5605,7.0,-19.375,-26.9375,-1.1719,0.5234,0.3164
2.585587,0.20981299463320974,0.6015319295400116,0.26033523829557337,-0.7255090686741981,-9.1445,-1.043,2.7578,-0.6992,-1.5781,0.5625,7.0,-19.375,-26.9375,-1.1719,0.5234,0.3164
2.608426,0.20983558056157814,0.6015122726651905,0.2603203052809733,-0.7255241923064757,-9.0898,-0.957,2.832,-0.6992,-1.5781,0.5625,4.0625,-21.5625,-28.8125,-0.1484,-0.5586,-1.1992
2.616416,0.20985139027821104,0.601498512600839,0.2603098521370707,-0.7255347780896907,-8.7891,-0.8984,2.9492,-0.6992,-1.5781,0.5625,4.0625,-21.5625,-28.8125,-0.1484,-0.5586,-1.1992
2.631678,0.20986245681194232,0.601488880480759,0.260302534956625,-0.7255421877286073,-8.5,-0.9102,3.1875,-0.6992,-1.5781,0.5625,4.0625,-21.5625,-28.8125,0.2227,-0.5742,-1.2266
2.643522,0.2491630557023913,0.5648624092685087,0.2516006915366337,-0.7453491277828871,-8.4727,-0.9375,3.332,-0.6992,-1.5781,0.5625,4.0625,-21.5625,-28.8125,0.2227,-0.5742,-1.2266
2.652317,0.27622825066825707,0.5380440420804632,0.2449942019652811,-0.7577495650397078,-8.457,-0.9297,3.5625,-0.2012,-1.248,0.5918,4.0625,-21.5625,-28.8125,0.2227,-0.5742,-1.2266
2.661815,0.29492054991610095,0.5187246730828764,0.2401245481565948,-0.7656936620769685,-8.4258,-0.8828,3.7422,-0.2012,-1.248,0.5918,0.1875,-18.5,-29.625,0.2227,-0.5742,-1.2266
2.687116,0.30786918545078995,0.5049447624768627,0.23659846336885584,-0.7708881362613825,-8.3945,-0.832,3.8867,-0.2012,-1.248,0.5918,0.125,-20.5625,-29.1875,0.1523,-0.707,-0.9648
2.705086,0.3168626127131475,0.4951772631073759,0.23407372497674112,-0.7743429821736616,-8.3945,-0.832,3.8867,-0.1074,-1.0957,0.5664,-0.5625,-19.5625,-30.0625,0.1523,-0.707,-0.9648
2.722779,0.3231220632257686,0.4882818614991939,0.23227909256038173,-0.7766719894182678,-8.3008,-0.7266,4.2891,-0.1074,-1.0957,0.5664,-0.5625,-19.5625,-30.0625,0.1523,-0.707,-0.9648
2.735387,0.3274856108741242,0.4834270725655745,0.23100959039964397,-0.7782583178639784,-8.2383,-0.6211,4.4805,-0.1074,-1.0957,0.5664,-1.3125,-18.125,-28.8125,0.1523,-0.707,-0.9648
2.746212,0.33053108996754266,0.4800151613737086,0.23011448446919452,-0.7793471418140426,-8.1211,-0.5078,4.7305,-0.1074,-1.0957,0.5664,-1.3125,-18.125,-28.8125,0.1523,-0.707,-0.9648
2.754099,0.3326584639456055,0.477620233994597,0.22948476179789057,-0.7800987133349612,-7.9219,-0.2305,4.957,0.002,-1.002,0.5566,-1.3125,-18.125,-28.8125,0.1523,-0.707,-0.9648
2.759383,0.3341454243924257,0.4759405728521629,0.22904241756305987,-0.7806196112240772,-7.8828,-0.2188,5.0078,0.002,-1.002,0.5566,-1.3125,-18.125,-28.8125,0.3086,-0.3789,-0.4258
2.761979,0.33518521394561646,0.474763240722859,0.2287320239835135,-0.780981689167528,-7.8828,-0.2188,5.0078,0.002,-1.002,0.5566,-1.3125,-18.125,-28.8125,0.293,-0.4141,-0.4531
2.765388,0.33591253545756145,0.4739383399283272,0.22851437986776663,-0.7812338936977222,-7.9102,-0.1328,5.1602,0.002,-1.002,0.5566,-1.3125,-18.125,-28.8125,0.293,-0.4141,-0.4531
2.767765,0.3364214005743168,0.47336053250766874,0.22836184826147515,-0.781409824457227,-8.1484,-0.2305,5.3711,0.002,-1.002,0.5566,-4.0625,-17.5,-28.3125,0.293,-0.4141,-0.4531
2.782919,0.35195684549145817,0.45752578337832084,0.21660060447313964,-0.7873250374512589,-8.1484,-0.2305,5.3711,0.002,-1.002,0.5566,-3.8125,-18.5625,-28.8125,0.293,-0.4141,-0.4531
2.787737,0.36374352792444065,0.4451484281743302,0.2075738607534459,-0.7914838059738897,-8.0859,-0.0664,5.4961,0.002,-1.002,0.5566,-3.8125,-18.5625,-28.8125,0.293,-0.4141,-0.4531
2.806255,0.37191137464613,0.436378828984153,0.20120547249462903,-0.7942114358667082,-8.0625,0.0586,5.6562,-0.1953,-0.9844,0.4883,-3.8125,-18.5625,-28.8125,0.293,-0.4141,-0.4531
2.814969,0.3775870513716028,0.4301897150181463,0.19672419631638738,-0.7960304129320539,-7.8125,0.1523,5.793,-0.1953,-0.9844,0.4883,-5.625,-19.6875,-29.25,0.293,-0.4141,-0.4531
